INFO	?	main	2016-12-15T11:32:05.727Z	org.javacs.Main#connectToNode	Connected to parent using socket on port 55282
INFO	?	main	2016-12-15T11:32:05.998Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java]
INFO	?	InitialIndex	2016-12-15T11:32:06.321Z	org.javacs.SymbolIndex$1#parseAll	Index /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java
INFO	?	main	2016-12-15T11:33:11.075Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java]
INFO	?	main	2016-12-15T11:46:28.121Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java]
WARNING	?	main	2016-12-15T11:46:44.908Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T11:46:48.910Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:46:50.270Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:46:51.099Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:46:52.936Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:46:53.285Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:46:56.129Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk
INFO	?	main	2016-12-15T11:46:59.153Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java]
INFO	?	main	2016-12-15T11:49:21.644Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
WARNING	?	main	2016-12-15T11:49:26.792Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T11:49:28.224Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T11:49:28.689Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:49:30.747Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk
INFO	?	main	2016-12-15T11:49:33.875Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:49:50.980Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:51:44.585Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java]
WARNING	?	main	2016-12-15T11:51:49.428Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
